ticker,source
AAPL,REAL (Stooq)
MSFT,REAL (Stooq)
GOOGL,REAL (Stooq)
AMZN,REAL (Stooq)
NVDA,REAL (Stooq)
META,REAL (Stooq)
TSLA,REAL (Stooq)
BRK-B,REAL (Stooq)
UNH,REAL (Stooq)
JNJ,REAL (Stooq)
JPM,REAL (Stooq)
V,REAL (Stooq)
PG,REAL (Stooq)
MA,REAL (Stooq)
HD,REAL (Stooq)
CVX,REAL (Stooq)
MRK,REAL (Stooq)
ABBV,REAL (Stooq)
LLY,REAL (Stooq)
PEP,REAL (Stooq)
KO,REAL (Stooq)
PFE,REAL (Stooq)
COST,REAL (Stooq)
TMO,REAL (Stooq)
AVGO,REAL (Stooq)
MCD,REAL (Stooq)
WMT,REAL (Stooq)
CSCO,REAL (Stooq)
ACN,REAL (Stooq)
ABT,REAL (Stooq)
DHR,REAL (Stooq)
NEE,REAL (Stooq)
VZ,REAL (Stooq)
ADBE,REAL (Stooq)
TXN,REAL (Stooq)
CRM,REAL (Stooq)
NKE,REAL (Stooq)
PM,REAL (Stooq)
INTC,REAL (Stooq)
QCOM,REAL (Stooq)
UPS,REAL (Stooq)
HON,REAL (Stooq)
LOW,REAL (Stooq)
IBM,REAL (Stooq)
CAT,REAL (Stooq)
GS,REAL (Stooq)
BA,REAL (Stooq)
AMD,REAL (Stooq)
ORCL,REAL (Stooq)
MS,REAL (Stooq)
