feature,importance,importance_pct,cumulative_pct
mom_126,27,9.507042253521126,9.507042253521126
gk_volatility_63,25,8.80281690140845,18.309859154929576
hl_range_21,23,8.098591549295776,26.408450704225352
volatility_21,20,7.042253521126761,33.45070422535211
macd_12_26,17,5.985915492957746,39.436619718309856
mom_126_rank,17,5.985915492957746,45.4225352112676
volatility_63,11,3.873239436619718,49.29577464788732
gk_volatility_21,10,3.5211267605633805,52.816901408450704
volatility_10,10,3.5211267605633805,56.33802816901409
amihud_63,9,3.169014084507042,59.50704225352113
volatility_63_rank,9,3.169014084507042,62.67605633802817
macd_signal_12_26_9,8,2.8169014084507045,65.49295774647888
volatility_21_rank,8,2.8169014084507045,68.30985915492958
dist_ma_200,8,2.8169014084507045,71.12676056338029
mom_63,8,2.8169014084507045,73.94366197183099
bb_position_50,7,2.464788732394366,76.40845070422536
hl_range_5,7,2.464788732394366,78.87323943661973
mom_accel_21,6,2.112676056338028,80.98591549295776
volume_ratio_21,6,2.112676056338028,83.09859154929579
zscore_63,6,2.112676056338028,85.21126760563382
rsi_21,5,1.7605633802816902,86.97183098591552
amihud_21,4,1.4084507042253522,88.38028169014088
mom_21,3,1.056338028169014,89.43661971830988
volatility_10_rank,3,1.056338028169014,90.4929577464789
dist_ma_50,3,1.056338028169014,91.5492957746479
mom_10_rank,2,0.7042253521126761,92.25352112676057
hl_range_1,2,0.7042253521126761,92.95774647887325
volume_zscore_21,2,0.7042253521126761,93.66197183098592
dist_ma_21,2,0.7042253521126761,94.36619718309859
volume_ratio_5,2,0.7042253521126761,95.07042253521126
rsi_14,2,0.7042253521126761,95.77464788732394
mom_63_rank,2,0.7042253521126761,96.47887323943661
zscore_10,2,0.7042253521126761,97.18309859154928
volume_ratio_10,1,0.35211267605633806,97.53521126760562
mom_5,1,0.35211267605633806,97.88732394366195
bb_position_20,1,0.35211267605633806,98.23943661971829
mom_5_rank,1,0.35211267605633806,98.59154929577463
dist_ma_10,1,0.35211267605633806,98.94366197183096
roc_21,1,0.35211267605633806,99.2957746478873
mom_21_rank,1,0.35211267605633806,99.64788732394364
mom_10,1,0.35211267605633806,99.99999999999997
volume_zscore_5,0,0.0,99.99999999999997
volume_zscore_10,0,0.0,99.99999999999997
mean_reversion_strength,0,0.0,99.99999999999997
roc_10,0,0.0,99.99999999999997
roc_5,0,0.0,99.99999999999997
zscore_21,0,0.0,99.99999999999997
